nuts2_id,country,scenario,cf
CZ06,Czechia,RCP4.5,583.43
CZ06,Czechia,RCP4.5,797.91
CZ06,Czechia,RCP4.5,983.32
CZ06,Czechia,RCP4.5,635.96
CZ06,Czechia,RCP4.5,1385.82
CZ06,Czechia,RCP4.5,322.22
CZ06,Czechia,RCP4.5,2033.35
CZ06,Czechia,RCP4.5,615.4
CZ06,Czechia,RCP4.5,1024.04
CZ06,Czechia,RCP4.5,633.89
CZ06,Czechia,RCP4.5,1308.32
CZ06,Czechia,RCP4.5,3583.88
CZ06,Czechia,RCP4.5,527.55
CZ07,Czechia,RCP4.5,2530.67
CZ07,Czechia,RCP4.5,1017.87
CZ07,Czechia,RCP4.5,978.97
CZ07,Czechia,RCP4.5,1653.49
CZ07,Czechia,RCP4.5,783.24
CZ07,Czechia,RCP4.5,1418.01
CZ02,Czechia,RCP4.5,681.16
CZ06,Czechia,RCP8.5,1155.87
CZ06,Czechia,RCP8.5,1074.81
CZ06,Czechia,RCP8.5,457.01
CZ06,Czechia,RCP8.5,619.25
CZ06,Czechia,RCP8.5,785.98
CZ06,Czechia,RCP8.5,723.77
CZ06,Czechia,RCP8.5,1116.38
CZ06,Czechia,RCP8.5,697.28
CZ06,Czechia,RCP8.5,969.2
CZ06,Czechia,RCP8.5,866.53
CZ06,Czechia,RCP8.5,866.74
CZ06,Czechia,RCP8.5,557.71
CZ06,Czechia,RCP8.5,792.16
CZ06,Czechia,RCP8.5,760.04
CZ06,Czechia,RCP8.5,789.21
CZ06,Czechia,RCP8.5,672.11
CZ06,Czechia,RCP8.5,2019.31
CZ06,Czechia,RCP8.5,1585.99
CZ06,Czechia,RCP8.5,673.47
CZ06,Czechia,RCP8.5,605.01
CZ06,Czechia,RCP8.5,2252.63
CZ06,Czechia,RCP8.5,536.1
CZ06,Czechia,RCP8.5,620.69
CZ06,Czechia,RCP8.5,1267.15
CZ06,Czechia,RCP8.5,2101.18
CZ06,Czechia,RCP8.5,894.56
CZ06,Czechia,RCP8.5,479.24
CZ06,Czechia,RCP8.5,3847.45
CZ06,Czechia,RCP8.5,3333.57
CZ06,Czechia,RCP8.5,539.38
CZ06,Czechia,RCP8.5,543.34
CZ06,Czechia,RCP8.5,652.84
